uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/408	1	0	0	0	0	1
http://bartoc.org/en/node/409	1	0	0	0	0	0
http://bartoc.org/en/node/410	1	0	3	2	0	0
http://bartoc.org/en/node/411	1	0	0	0	0	0
http://bartoc.org/en/node/412	1	0	2	2	0	0
http://bartoc.org/en/node/413	1	0	0	0	0	0
http://bartoc.org/en/node/414	1	0	2	1	0	0
http://bartoc.org/en/node/415	1	0	2	2	1	0
http://bartoc.org/en/node/417	1	0	0	0	0	0
http://bartoc.org/en/node/418	1	0	0	0	0	0
http://bartoc.org/en/node/419	1	0	0	0	0	0
http://bartoc.org/en/node/420	1	0	0	0	0	0
http://bartoc.org/en/node/421	1	0	2	1	0	0
http://bartoc.org/en/node/423	1	0	0	0	0	0
http://bartoc.org/en/node/424	1	0	0	0	0	0
http://bartoc.org/en/node/425	1	0	0	0	0	0
http://bartoc.org/en/node/426	1	0	0	0	0	0
http://bartoc.org/en/node/427	1	0	2	2	0	0
http://bartoc.org/en/node/428	1	0	2	1	0	0
http://bartoc.org/en/node/429	1	0	2	1	0	0
http://bartoc.org/en/node/430	2	1	0	0	0	1
http://bartoc.org/en/node/431	1	0	0	0	0	0
http://bartoc.org/en/node/432	1	0	2	2	0	0
http://bartoc.org/en/node/433	1	0	0	0	0	0
http://bartoc.org/en/node/434	1	0	0	0	0	0
http://bartoc.org/en/node/435	1	0	2	2	0	0
http://bartoc.org/en/node/436	1	0	2	1	0	0
http://bartoc.org/en/node/437	1	0	2	1	0	0
http://bartoc.org/en/node/438	1	0	0	0	0	0
http://bartoc.org/en/node/439	1	1	2	2	1	0
http://bartoc.org/en/node/440	1	1	2	1	2	0
http://bartoc.org/en/node/441	1	0	2	1	0	0
http://bartoc.org/en/node/442	1	0	3	2	0	0
http://bartoc.org/en/node/443	1	0	0	0	0	0
http://bartoc.org/en/node/444	1	0	0	0	0	0
http://bartoc.org/en/node/445	1	1	2	1	2	0
http://bartoc.org/en/node/446	1	0	2	1	0	1
http://bartoc.org/en/node/447	1	1	0	0	0	1
http://bartoc.org/en/node/448	1	1	3	1	3	0
http://bartoc.org/en/node/449	1	0	2	1	0	1
http://bartoc.org/en/node/450	2	1	0	0	0	1
http://bartoc.org/en/node/451	1	0	0	0	0	0
http://bartoc.org/en/node/452	1	0	0	0	0	0
http://bartoc.org/en/node/453	1	0	2	2	1	0
http://bartoc.org/en/node/454	2	1	0	0	0	1
http://bartoc.org/en/node/455	1	1	0	0	0	0
http://bartoc.org/en/node/456	1	0	0	0	0	1
http://bartoc.org/en/node/457	1	0	2	1	0	0
http://bartoc.org/en/node/458	1	0	0	0	0	1
http://bartoc.org/en/node/459	1	0	0	0	0	0
http://bartoc.org/en/node/460	2	1	0	0	0	1
http://bartoc.org/en/node/461	1	1	2	1	2	0
http://bartoc.org/en/node/462	1	1	3	2	2	0
http://bartoc.org/en/node/463	1	0	2	1	0	0
http://bartoc.org/en/node/464	1	0	0	0	0	0
http://bartoc.org/en/node/465	2	1	0	0	0	1
http://bartoc.org/en/node/466	1	0	0	0	0	0
http://bartoc.org/en/node/467	1	0	2	1	0	0
http://bartoc.org/en/node/468	2	1	0	0	0	1
http://bartoc.org/en/node/469	1	0	0	0	0	0
http://bartoc.org/en/node/470	1	0	0	0	0	0
http://bartoc.org/en/node/471	2	1	0	0	0	1
http://bartoc.org/en/node/472	2	1	0	0	0	1
http://bartoc.org/en/node/473	2	1	0	0	0	1
http://bartoc.org/en/node/474	2	1	0	0	0	1
http://bartoc.org/en/node/475	1	1	2	1	0	1
http://bartoc.org/en/node/476	1	0	2	2	0	1
http://bartoc.org/en/node/477	1	0	0	0	0	0
http://bartoc.org/en/node/478	1	1	2	1	2	0
http://bartoc.org/en/node/479	1	0	0	0	0	0
